UNIT_ID,SITE_NAME,TripAdvisor,Yelp,Foursquare,Facebook,Wikipedia,Factual id,DISTRICT,PUBLIC_ACC
S00001,Addison Blockhouse Historic State Park,https://www.tripadvisor.com/Attraction_Review-g34517-d3703573-Reviews-Addison_Blockhouse_Historic_State_Park-Ormond_Beach_Florida.html,https://www.yelp.com/biz/tomoka-state-park-ormond-beach?osq=park,https://foursquare.com/v/4d28fe1b888af04db31ccbaf,https://www.facebook.com/139366526099308,https://en.wikipedia.org/wiki/Tomoka_State_Park,9ae133d3-8e67-4dd3-9d1c-f48065b7844c,3,Open-No Fee Required
S00251,Alafia River State Park,https://www.tripadvisor.com/Attraction_Review-g34392-d2415362-Reviews-Alafia_River_State_Park-Lithia_Florida.html,https://www.yelp.com/biz/alafia-river-state-park-lithia,https://foursquare.com/v/4b6d5ae7f964a52086722ce3,https://www.facebook.com/148516801874294,https://en.wikipedia.org/wiki/Alafia_River_State_Park,9c2794c9-78ef-41fa-a4fa-fdc22d89b1d0,4,Open-Fee Required
S00002,Alfred B. Maclay Gardens State Park,https://www.tripadvisor.com/Attraction_Review-g34675-d257090-Reviews-Alfred_B_Maclay_Gardens_State_Park-Tallahassee_Florida.html,https://www.yelp.com/biz/alfred-b-maclay-gardens-state-park-tallahassee,https://foursquare.com/v/4b54bf9cf964a52054ca27e3,https://www.facebook.com/217065671641444,https://en.wikipedia.org/wiki/Alfred_B._Maclay_Gardens_State_Park,05096540-790f-4510-bfcb-ce635378b524,1,Open-Fee Required
S00229,Allen David Broussard Catfish Creek Preserve State Park,https://www.tripadvisor.com/Attraction_Review-g34273-d4084339-Reviews-Allen_David_Broussard_Catfish_Creek_Preserve_State_Park-Haines_City_Florida.html,https://www.yelp.com/biz/catfish-creek-preserve-state-park-haines-city?osq=Catfish+Creek+Preserve+State+Park,https://foursquare.com/v/4fb296c2e4b0bb3b41b68811,https://www.facebook.com/pages/Allen-David-Broussard-Catfish-Creek-Preserve-State-Park/1488101431408716,https://en.wikipedia.org/wiki/Allen_David_Broussard_Catfish_Creek_Preserve_State_Park,6744db81-99cd-4d8c-840b-b31be0252fd8,3,Open-No Fee Required
S00192,Amelia Island State Park,https://www.tripadvisor.com/Attraction_Review-g34341-d590831-Reviews-Amelia_Island_State_Park-Amelia_Island_Florida.html,,https://foursquare.com/v/4ba7aecff964a52064a939e3,https://www.facebook.com/108828165808311,https://en.wikipedia.org/wiki/Amelia_Island_State_Park,c8c44acc-e6aa-4ac3-9f35-6940fec1ace7,2,Open-Fee Required
S00003,Anastasia State Park,https://www.tripadvisor.com/Attraction_Review-g34599-d561320-Reviews-Anastasia_State_Park-St_Augustine_Florida.html,https://www.yelp.com/biz/anastasia-state-park-saint-augustine,https://foursquare.com/v/4da1e3f77aee5481a179cafe,https://www.facebook.com/176331649080535,https://en.wikipedia.org/wiki/Anastasia_State_Park,a7a9727f-e0b9-43c9-8776-d85faa42a0b5,3,Open-Fee Required
S00004,Anclote Key Preserve State Park,https://www.tripadvisor.com/Attraction_Review-g34470-d3344234-Reviews-Anclote_Key_Preserve_State_Park-New_Port_Richey_Florida.html,https://www.yelp.com/biz/anclote-gulf-park-holiday,https://foursquare.com/v/4bae68fcf964a5209bae3be3,https://www.facebook.com/pages/Anclote-Key-Preserve-State-Park/112242945454923,https://en.wikipedia.org/wiki/Anclote_Key_Preserve_State_Park,5b799565-d388-46aa-8bd4-ab5301be64de,4,Open-Fee Required
S00269,Anderson's Landing (Managed by Manatee Springs State Park),,,,,,,2,Open-Fee Required
S00261,Atlantic Ridge Preserve State Park-0,https://www.tripadvisor.com/Attraction_Review-g34657-d12876841-Reviews-Atlantic_Ridge_Preserve_State_Park-Stuart_Florida.html,https://www.yelp.com/biz/atlantic-ridge-preserve-state-park-stuart?osq=Atlantic+Ridge+Preserve+State+Park,https://foursquare.com/v/atlantic-ridge-preserve-state-park/50d4c340e4b0afbc0c0343eb,https://www.facebook.com/1450934885140561,,1436bb93-5439-4b46-8a5c-28f2e6fbd9b6,5,Open-Prior Arrangement Required
S00202,Avalon State Park,https://www.tripadvisor.com/Attraction_Review-g34233-d12065023-Reviews-Avalon_State_Park-Fort_Pierce_Florida.html,https://www.yelp.com/biz/avalon-state-park-fort-pierce?osq=Avalon+State+Park,https://foursquare.com/v/avalon-beach/4c04109e187ec9286d88b67b,https://www.facebook.com/103116056395814,https://en.wikipedia.org/wiki/Avalon_State_Park,7bb07468-2073-4a1d-bb56-85dd7a59ad28,5,Open-No Fee Required
S00005,Bahia Honda State Park,https://www.tripadvisor.com/Attraction_Review-g34085-d219514-Reviews-Bahia_Honda_State_Park_and_Beach-Big_Pine_Key_Florida_Keys_Florida.html,https://www.yelp.com/biz/bahia-honda-state-park-big-pine-key,https://foursquare.com/v/4dd69b487d8b322663db0692,https://www.facebook.com/370382326361451,https://en.wikipedia.org/wiki/Bahia_Honda_Key,f24a1e25-a5ab-4693-baeb-60c9e3bee872,5,Open-Fee Required
S00257,Bald Point State Park,https://www.tripadvisor.com/Attraction_Review-g1896466-d2287246-Reviews-Bald_Point_State_Park-Alligator_Point_Florida.html,https://www.yelp.com/biz/bald-point-state-park-panacea,https://foursquare.com/v/4b48ebdbf964a520765d26e3,https://www.facebook.com/105558932812434,https://en.wikipedia.org/wiki/Bald_Point_State_Park,546ec3b8-be8a-4f8e-bdad-44812a63cf94,1,Open-Fee Required
S00128,Big Lagoon State Park,https://www.tripadvisor.com/Attraction_Review-g34551-d142895-Reviews-Big_Lagoon_State_Park-Perdido_Key_Florida.html,https://www.yelp.com/biz/big-lagoon-state-park-pensacola,https://foursquare.com/v/4bb4e52f29269c740ec7ca92,https://www.facebook.com/180460548751034,https://en.wikipedia.org/wiki/Big_Lagoon_State_Park,5eb44626-025d-45a4-b829-eeee8030915f,1,Open-Fee Required
S00213,Big Shoals State Park,https://www.tripadvisor.com/Attraction_Review-g34737-d2013493-Reviews-Big_Shoals_State_Park-White_Springs_Florida.html,https://www.yelp.com/biz/big-shoals-state-park-white-springs?osq=Big+Shoals+State+Park,https://foursquare.com/v/4ea3391a6da1455cacb594f7,https://www.facebook.com/215825228441557,https://en.wikipedia.org/wiki/Big_Shoals_State_Park,60cda8d1-eb5a-452d-99e0-b519d3415f1b,2,Open-No Fee Required
S00187,Big Talbot Island State Park,https://www.tripadvisor.com/Attraction_Review-g60805-d561668-Reviews-Big_Talbot_Island_State_Park-Jacksonville_Florida.html,https://www.yelp.com/biz/big-talbot-island-state-park-jacksonville,https://foursquare.com/v/4be809e96af1ef3bfa991b96,https://www.facebook.com/202529346547770,https://en.wikipedia.org/wiki/Big_Talbot_Island_State_Park,4fa2e154-5558-4571-8e42-0fa6078e88da,2,Open-Fee Required
S00011,Bill Baggs Cape Florida State Park,https://www.tripadvisor.com/Attraction_Review-g34342-d254416-Reviews-Bill_Baggs_Cape_Florida_State_Park-Key_Biscayne_Florida.html,https://www.yelp.com/biz/bill-baggs-cape-florida-state-park-key-biscayne,https://foursquare.com/v/4b8599f7f964a520eb6731e3,https://www.facebook.com/bbcfsp/,https://en.wikipedia.org/wiki/Bill_Baggs_Cape_Florida_State_Park,959286ea-31c0-4b17-87a6-76c63f0e9686,5,Open-Fee Required
S00231,Blackwater Heritage State Trail,http://www.tripadvisor.com/Attraction_Review-g34451-d1177335-Reviews-Blackwater_Heritage_State_Trail-Milton_Florida.html,https://www.yelp.com/biz/blackwater-heritage-state-trail-milton,https://foursquare.com/v/4b81964df964a520d7b030e3,https://www.facebook.com/146020408752356,,0846fee8-31b0-4fa6-af83-02ee23e208ba,1,Open-No Fee Required
S00008,Blackwater River State Park,[same as Yellow River Marsh Preserve State Park],,,,,,1,Open-Fee Required
S00101,Blue Spring State Park,https://www.tripadvisor.com/Attraction_Review-g34511-d185193-Reviews-Blue_Spring_State_Park-Orange_City_Florida.html,https://www.yelp.com/biz/blue-spring-state-park-orange-city,https://foursquare.com/v/blue-springs-state-park/4c55df27f5f3d13a65937ffc,https://www.facebook.com/BluespringsShops/?rf=115568241835540,,3cf3f220-91b3-4521-9f8e-73c5910e0869,3,Open-Fee Required
S00139,Bulow Creek State Park,https://www.tripadvisor.com/Attraction_Review-g34517-d3262182-Reviews-Bulow_Creek_State_Park-Ormond_Beach_Florida.html,https://www.yelp.com/biz/bulow-creek-state-park-ormond-beach,https://foursquare.com/v/bulow-creek-state-park/4be8146b6af1ef3bd19b1b96,https://www.facebook.com/213875662019838,https://en.wikipedia.org/wiki/Bulow_Creek_State_Park,38126bf0-033d-437b-b534-c805f934f725,3,Open-No Fee Required
S00009,Bulow Plantation Ruins Historic State Park,https://www.tripadvisor.com/Attraction_Review-g34221-d1633470-Reviews-Bulow_Plantation_Ruins_Historic_State_Park-Flagler_Beach_Florida.html,https://www.yelp.com/biz/bulow-plantation-ruins-historic-state-park-flagler-beach?osq=Bulow+Plantation+Ruins+Historic+State+Park,https://foursquare.com/v/4c1bbfa6eac020a18a6045c2,https://www.facebook.com/112195505462365,https://en.wikipedia.org/wiki/Bulow_Plantation_Ruins_Historic_State_Park,ac87d7d9-8167-44ff-9d2b-6a92c4c8dafc,3,Open-Fee Required
S00010,Caladesi Island State Park,https://www.tripadvisor.com/Attraction_Review-g34187-d126855-Reviews-Caladesi_Island_State_Park-Dunedin_Florida.html,https://www.yelp.com/biz/caladesi-island-state-park-dunedin,https://foursquare.com/v/4b3b7de5f964a520957425e3,https://www.facebook.com/109624142397913,https://en.wikipedia.org/wiki/Caladesi_Island_State_Park,9711bfc9-0ac3-4941-ae1b-f66273af7251,4,Open-Fee Required
S00247,Camp Helen State Park,https://www.tripadvisor.com/Attraction_Review-g2056540-d4071983-Reviews-Camp_Helen_State_Park-Inlet_Beach_Florida.html,https://www.yelp.com/biz/camp-helen-state-park-panama-city-beach,https://foursquare.com/v/camp-helen-state-park/4c1a345298f4a593b93001f6,https://www.facebook.com/pages/Camp-Helen-State-Park/112611895420013,https://en.wikipedia.org/wiki/Camp_Helen_State_Park,3ac79887-fa63-48d7-b9b1-6dad3529dc5f,1,Open-Fee Required
S00127,Cayo Costa State Park,https://www.tripadvisor.com/Attraction_Review-g34087-d143659-Reviews-Cayo_Costa_State_Park-Boca_Grande_Florida.html,https://www.yelp.com/biz/cayo-costa-state-park-cayo-costa?osq=Cayo+Costa+State+Park,https://foursquare.com/v/4dc52aaad22dafda2f9cd5ab,https://www.facebook.com/137454809635116,https://en.wikipedia.org/wiki/Cayo_Costa_State_Park,a753c7dc-c534-4e3a-8483-6fd5c1d7d66b,4,Open-Fee Required
