Date,Review,Reviewer,Ratings,Locationusergeo,Statename,Country,parkname
8/22/2019,"We kayaked here, but nobody really seems to know how to get to it.  A ranger said via Smith Creek, which we couldn't find, and nobody seemed to know where it was, and the guy at Tomoka Outpost said he wasn't sure but there should be a white post.  I read that there was a landing there and a little bit of a walk.  We got to the end of this shallow water trail and couldn't go any further.  Our gps said that we were close though.",taz321,3.0 of 5 bubbles,Cocoa,Florida,United States,Addison Blockhouse Historic State Parktripadvisorreviews
3/24/2019,"We recently camped at Alafia River in Site 21.  Believe me when I tell you the site is a swamp!  There was even a small boardwalk build around the electric box - I guess so that you don't get electrocuted when connecting?  The park should really close this site down.  It is a mess, and not fair for campers to have to deal with.  Fortunately, we moved to another site the next day and were able to relax and enjoy the park and its amenities.  Camper Coffee get togethers were terrific; hats off to the volunteers who go the extra mile to make the camping experience most enjoyable.  We enjoyed both the basic biking trails and the hiking trails.  The park is working to improve marking the hiking trails, which is good since everyone is not 20-30 something and agile enough to handle the bike trails.  One other note, is that the park really needs to add a laundry.  After a day or two on the trails, we were in dire need to do some wash.",chambersburgj,4.0 of 5 bubbles,Fayetteville,Arkansas,United States,Alafia River State Parktripadvisorreviews
11/6/2020,"A 1 day ride.  Plenty of tree coverage and very well marked trails.  Trail maps at park entrance and also well mapped via AllTrails app.  Many great trails, lots of blues and interesting blacks.  Started with green Sand Pine to Rock Garden.  Then Blue Garden Ridge and OAF into Lost Meadow.  Then black Bridges.  Continued to blue Rollercoaster then found blacks StarDust, Gravitron, and Scorpion.  Back to trail head to access south trails, via blue North Creek into Buzzard Bay.  Definitely enjoyed blacks Twisted Sister and Magic Island along the way.  Didnt make it to double blacks Gatorback or Frankenstairs bc of washouts.  Accessed core trails from main Trail Head off of SR-39.  Small park fee ($5).  Main parking area fills up quickly but overflow at campground handles the rest with access to south trails.  Several picnic areas in case of rain at trail head (as well as restrooms).  Quite busy on the weekend and recommend early start times. Only wildlife we saw was a doe and 2 fawns.  And a vulture at the main trail marker LOL. I recommend Deep Woods OFF (not for the vulture but for the mosquitoes).  I STILL highly recommend and will return.",David C,5.0 of 5 bubbles,Florida City,Florida,United States,Alafia River State Parktripadvisorreviews
7/27/2020,"This was our 1st mountain biking experience and wow it was amazing!  The trail has  3 to 4 levels of difficulty. He moderate and difficult levels are treacherous- branches hanging over your path, roots and small rocks- not pebbles- rocks, and very narrow paths. The paths, while not only narrow, can be difficult when coupled with a drop off on your right and a dirt wall on your left. Not only are you trying to avoid your pedal hitting the wall but also avoiding rocks on the path. The best thing you can do the first time- slow down and be alert. The second time around you can at least anticipate some of the hazards. Must do's: Download the Trailforks app. We got lost and did circles for a while trying to find the main trail head. The app doesn't require wi-fi to help you know your positioning and navigate. Wear a helmet. Bring plenty of water.  (Parking is in the middle of the 2 main trail areas. We brought a sling type backpack for our water and backups were in the car. The parking area has bathrooms- they were very clean and well kept- and a water fountain. You can refill your water bottle there.)A weather app for lightning detection.  The trails are very shaded with lots of overhang, and its difficult to see inclement weather moving in. It's a cheap day! $5 admission.  In terms of the trails- they were a little scary,  fun and exhausting! Berms, huge inclines and declines, if you're into the intermediate and advanced/expert levels. We spent 2 hours there and that heat takes a lot out of you but its worth it. Lots of riders were there mid day and more coming as we left in the early evening.  So I felt pretty safe being out there with my boys!",beachyanne,5.0 of 5 bubbles,Land O' Lakes,Florida,United States,Alafia River State Parktripadvisorreviews
1/19/2020,"Best mountain bike trail system on the east coast. Great campground. Bring your camper,mtn bike, kayak and hiking shoes.. this place has it all.",Nicholas W,5.0 of 5 bubbles,Tampa,Florida,United States,Alafia River State Parktripadvisorreviews
6/12/2019,I took a quick drive into Alafia River State Park when I was in the area. It is a lovely park with forests and meadows. I noticed several species of birds including egrets. There is an extensive trail system mostly for bikers but some hiking trails are also in the park as well. I plan to do a more extensive visit next time!,TrailTrekker15,4.0 of 5 bubbles,Tallahassee,Florida,United States,Alafia River State Parktripadvisorreviews
10/11/2019,We came for a quick visit but stayed a few hours. Saw a few black snakes and enjoyed the scarecrow exhibition. Good spot for families.,67travels,5.0 of 5 bubbles,Perth,Western Australia,Australia,Alfred B Maclay Gardens State Parktripadvisorreviews
11/23/2019,"Magnificent magnolia and oak trees. Super well-kept. Wished the home was open (but was glad that the bathroom was!). It was wonderful to walk around by ourselves in perfect weather. Will have to re-read Gloria Jahod's ""The Other Florida"" comments on this gem of a park. ",Ruth C,5.0 of 5 bubbles,Bras�lia,Federal District,Brazil,Alfred B Maclay Gardens State Parktripadvisorreviews
6/1/2019,"If Gardens appeal to you, this is a great stop! Our family loved it.There are two main areas. One consists of a “rec” pavilion with canoe rentals, covered picnic tables, and small-ish playground for the kids. The other is more the main draw- a manor house with elaborate brick walking paths, immaculate landscaping... and a secret, walled garden!Though we saw it during a time that is not peak blooming season (June vs March), it was still lovely. The bricked walking path to it is easy (note- we are a family of walkers) and the trip is not time consuming. Round trip it was close to three quarters of a mile and we diverged onto a few side paths on the way back to the car. The sloping live oaks draped in moss surrounding the walled garden were almost as imagination-capturing as the garden itself!PROS: Easy walk, interesting and unique, good location (5-8 min from interstate)CONS: Playground on smaller side (not a main draw); trails are not designed for hikes or long walks (if that’s your interest); LOTS of fire ants (I’m severely allergic so carry your pen if this is you!)REPEAT?: Yes, def in spring when main house is open and garden is in full bloom",KNMiller,5.0 of 5 bubbles,Alabama,Alabama,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
4/15/2019,No great shakes but this is a nice urban park getaway. The staff is very friendly and the grounds are nicely kept.The house itself is very modest.,Darryl L,3.0 of 5 bubbles,Marana,Arizona,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
1/19/2021,"Spent time here walking around lovely Lake Hall trail (about 4 miles) and visiting the Maclay Gardens. The Maclay House is closed for COVID restrictions, but the gardens are open. The gardens are not too large, but they are pretty. $6 entrance fee per adult.",Noel78,5.0 of 5 bubbles,Florida City,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
1/10/2021,"Beautiful trails. Massive live oak trees, Spanish moss, some flowers in bloom. It was chilly, but I got exercise walking the trails and enjoying the scenery. There were few other visitors when I was here, due, I suppose, to the cool weather and the time of day (mid morning). Well worth the visit. Serene.",Bunmaster2014,4.0 of 5 bubbles,Boca Raton,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
