Date,Review,Reviewer,Ratings,Userprofilelocation,Userprofilelocation,Parkname,datasource
3/18/2019,This is our favorite place to camp...It's quiet and peaceful at night..The swimming area is nice. A lot of trails to walk and history to explore..,Tammy W.,5 star rating,"Bonifay, FL","Coconut Creek, FL",Falling Waters State Park,yelp
3/18/2019,"This is a sweet park. Lots of hiking trails, easy to medium, no big hills. Really pretty natural Florida wildlife flora and fauna. There are camping faculties on the property too (I didn't camp while I was there, just walked). There are paved and natural trails.",Brenda B.,4 star rating,"FL, FL","Gainesville, FL",Highlands Hammock State Park,yelp
3/19/2019,I love love love this place. I have been two times now and each time was a blast. I love going to the second entry into the water on a tub and floating down the spring. It feels just like a lazy river. The day we went there was even a manatee who swam down to the swimming area and everyone had to get out. It was Truly a sight to see. I also love the fact they have food on site. I got the jolly rancher popsicle and loved it ! If your looking for something fun to do I highly recommend this place!,Breanna C.,5 star rating,"Titusville, FL","St. Augustine, FL",Blue Spring State Park,yelp
3/19/2019,"Just so you know... I'm not from the area. Coming here from California I wasn't really sure what to expect when I landed in Jacksonville with my parents. I honestly thought saw this area as just a rest stop to my destination in Georgia. But this morning, Fort Clinch proved me wrong. Tipped off from a woman who did ecological tours I came across the State park and was apprehensive; I wasn't sure if going to a Fort would be interesting. Yet the beautiful canopies and the amazing bird life drew me in. And the visitor center and the Fort tour was just amazing! I'm a huge history buff so actually being able to not just look at artifacts from that time but to be in the literal building (and be able to touch it) was astounding.The only way I could describe the experience of walking in the Fort is probably surreal. I've never felt so close and yet so far to the past. The metal bars from the prison area were haunting and sent chills down my spine, as the bastions made my heart race as I overlooked the coast. What really tied it all together was the man dressed in a soldier uniform in the gift shop. He really made the history come alive for me and I'm grateful and glad he puts his time in into the park. A fantastic 5/5!",Hannah R.,5 star rating,"Stockton, CA","Columbia, SC",Fort Clinch State Park,yelp
3/20/2019,"What a wonderful, peaceful retreat.  It is set in gorgeous grounds that also has a  majestic lodge hotel.  There is water to swim in and also a boat tour which lasts approx 55 minutes to go on, which takes you on an approx 3 mile trip - going up the lake and following the springs and back again.  This boat trip costs 8 dollars and is a definite must do, whilst there.  My son and I saw alligators, loads of different birds, manatees and turtles.  You also have a narrator explaining all about the wildlife, the area, the history , which was fun and very informative.",Sarah P.,5 star rating,"Miami Lakes, FL","Columbia, SC",Edward Ball Wakulla Springs State Park,yelp
3/20/2019,"When we  got to the park, they had actives for movies. There were bunch of families and  pop corn served as well. It's the historical place, you still can  read the  history of the building . We will come back during the daytime.",Supawat J.,5 star rating,"Miami, FL","Columbia, SC",The Barnacle Historic State Park,yelp
3/21/2019,This is such a pretty park. The ability to go into the under water viewing area was so interesting. We were at the park when they were guiding the injured manatees into the area where they were fed.  This park sits along the Crystal River where there is a family of manatees that have chosen to live there. We watched them for awhile and really enjoyed their antics.,Pat R.,5 star rating,"Souderton, PA","Las Vegas, NV",Homosassa Springs State Wildlife Park,yelp
3/22/2019,"What hidden gem! Amazing spring, serene environment, and family friendly atmosphere. Our first time visiting we will definitely be back in the summer.",Francis F.,5 star rating,"Thousand Oaks East, Trinity, FL","Las Vegas, NV",Rainbow Springs State Park,yelp
3/23/2019,Manatees will b seen! If you are patient you can even see the elusive Florida scrub jay! Arive before 10 on the weekend to beat the crowds cuz the park will close to visitors to prevent overcrowding!,Jay R.,4 star rating,"Mount Pleasant, SC","Las Vegas, NV",Blue Spring State Park,yelp
3/23/2019,"We got more than we bargained for. There are a great many sights to see, and it's largely staffed by knowledgable volunteers. The boat ride is certainly a highlight. The native Floridian fauna is quite interesting. Kids of all age are welcome. One can easily spend the entire day here.",Aaron M.,5 star rating,"Orange Park, FL","Las Vegas, NV",Homosassa Springs State Wildlife Park,yelp
